buyer_id,trailing_order_count,refund_frequency,dispute_frequency,chargeback_frequency,average_order_value,promo_usage_rate,abnormal_behavior_flags,order_risk_proxy
B000001,10,0.13636363636363635,0.09090909090909091,0.016666666666666666,178.796,0.3,none,16.515151515151516
B000002,9,0.19047619047619047,0.14285714285714285,0.05172413793103448,407.2944444444445,0.3333333333333333,none,16.272577996715924
B000003,6,0.05555555555555555,0.1111111111111111,0.057692307692307696,224.66833333333332,0.3333333333333333,none,10.042735042735043
B000004,5,0.058823529411764705,0.17647058823529413,0.02,338.896,0.4,none,12.047058823529413
B000005,4,0.0625,0.0625,0.020833333333333332,222.5325,0.75,none,12.291666666666668
B000006,9,0.09523809523809523,0.09523809523809523,0.017241379310344827,150.5822222222222,0.2222222222222222,none,9.233716475095784
B000007,12,0.125,0.125,0.046875,168.01333333333332,0.25,none,17.1875
B000008,17,0.034482758620689655,0.13793103448275862,0.06756756756756757,102.71470588235294,0.47058823529411764,none,16.57447508360287
B000009,11,0.08695652173913043,0.08695652173913043,0.04838709677419355,160.71818181818182,0.09090909090909091,none,12.963789366313911
B000010,2,0.07142857142857142,0.14285714285714285,0.022727272727272728,272.755,0.0,none,7.597402597402597
B000011,5,0.17647058823529413,0.11764705882352941,0.02,162.43800000000002,0.8,promo_dependence,18.98823529411765
B000012,1,0.07692307692307693,0.07692307692307693,0.023809523809523808,140.34,1.0,promo_dependence,15.86080586080586
B000013,2,0.07142857142857142,0.14285714285714285,0.022727272727272728,243.995,0.5,none,12.597402597402596
B000014,9,0.23809523809523808,0.19047619047619047,0.05172413793103448,83.64777777777778,0.5555555555555556,high_dispute_frequency,21.82813355227148
B000015,6,0.1111111111111111,0.16666666666666666,0.057692307692307696,81.69833333333334,0.16666666666666666,none,12.264957264957264
B000016,6,0.16666666666666666,0.16666666666666666,0.019230769230769232,116.105,0.5,none,17.05128205128205
B000017,14,0.11538461538461539,0.19230769230769232,0.04411764705882353,126.92571428571429,0.14285714285714285,high_dispute_frequency,17.69553975436328
B000018,14,0.15384615384615385,0.038461538461538464,0.014705882352941176,210.92857142857142,0.14285714285714285,none,14.030381383322561
B000019,15,0.2222222222222222,0.1111111111111111,0.07142857142857142,193.58066666666667,0.2,none,20.650793650793652
B000020,2,0.07142857142857142,0.07142857142857142,0.022727272727272728,27.085,0.5,none,10.454545454545455
B000021,7,0.15789473684210525,0.10526315789473684,0.018518518518518517,164.51,0.14285714285714285,none,11.272626009468114
B000022,18,0.06666666666666667,0.16666666666666666,0.11842105263157894,132.45277777777778,0.3888888888888889,high_chargeback_frequency,18.923976608187132
B000023,19,0.0967741935483871,0.06451612903225806,0.01282051282051282,109.18842105263157,0.2631578947368421,none,13.694440816681903
B000024,2,0.07142857142857142,0.07142857142857142,0.022727272727272728,136.065,0.0,none,5.454545454545454
B000025,2,0.14285714285714285,0.07142857142857142,0.022727272727272728,103.345,0.0,none,8.311688311688311
B000026,3,0.13333333333333333,0.06666666666666667,0.021739130434782608,213.37666666666667,0.0,none,7.768115942028986
B000027,11,0.08695652173913043,0.13043478260869565,0.04838709677419355,86.76363636363637,0.5454545454545454,none,18.81359173785541
B000028,2,0.14285714285714285,0.14285714285714285,0.022727272727272728,110.45,0.5,none,15.454545454545453
B000029,9,0.047619047619047616,0.14285714285714285,0.017241379310344827,124.82666666666667,0.3333333333333333,none,9.86863711001642
B000030,10,0.3181818181818182,0.13636363636363635,0.05,230.523,0.1,high_refund_frequency,23.81818181818182
B000031,10,0.09090909090909091,0.045454545454545456,0.016666666666666666,177.642,0.4,none,14.333333333333336
B000032,7,0.15789473684210525,0.10526315789473684,0.018518518518518517,91.86714285714287,0.42857142857142855,none,14.12976886661097
B000033,9,0.14285714285714285,0.19047619047619047,0.05172413793103448,123.79666666666668,0.5555555555555556,high_dispute_frequency,18.01860974274767
B000034,6,0.1111111111111111,0.05555555555555555,0.019230769230769232,108.84166666666665,0.16666666666666666,none,8.162393162393162
B000035,2,0.07142857142857142,0.07142857142857142,0.022727272727272728,402.015,0.0,none,5.454545454545454
B000036,15,0.2962962962962963,0.1111111111111111,0.014285714285714285,165.20600000000002,0.3333333333333333,high_refund_frequency,23.804232804232804
B000037,1,0.07692307692307693,0.07692307692307693,0.023809523809523808,30.37,0.0,none,5.86080586080586
B000038,3,0.06666666666666667,0.06666666666666667,0.021739130434782608,132.20333333333335,1.0,promo_dependence,15.101449275362318
B000039,1,0.07692307692307693,0.07692307692307693,0.023809523809523808,114.31,1.0,promo_dependence,15.86080586080586
B000040,10,0.09090909090909091,0.09090909090909091,0.05,196.93099999999998,0.5,none,17.363636363636363
