entity_type,entity_id,priority_score,risk_tier,main_risk_driver,recommended_action,owner_team,sla_days,estimated_leakage_proxy,estimated_margin_proxy,gross_value,net_value,risk_adjusted_value,record_source,priority_rank,status,next_review_step
seller,S00968,70.13051303203547,High,seller_quality,audit seller operations,Seller Operations,7,12389.03,-9654.67,28691.97,26024.9,25088.30146180959,seller_scorecard + order_profitability_features,1,open,assign owner and execute recommended action within SLA
seller,S00988,69.75307448401603,High,seller_quality,audit seller operations,Seller Operations,7,18078.96,-13701.24,48751.74,43969.21,42478.732255297116,seller_scorecard + order_profitability_features,2,open,assign owner and execute recommended action within SLA
seller,S00163,69.34473314978669,High,seller_quality,audit seller operations,Seller Operations,7,12199.300000000001,-9448.23,29344.65,26846.68,25915.999003125384,seller_scorecard + order_profitability_features,3,open,assign owner and execute recommended action within SLA
seller,S00940,69.27366013730075,High,seller_quality,audit seller operations,Seller Operations,7,33077.020000000004,-26496.43,88482.22,81858.98,79433.05697390414,seller_scorecard + order_profitability_features,4,open,assign owner and execute recommended action within SLA
seller,S01149,67.82992571975666,High,seller_quality,audit seller operations,Seller Operations,7,38134.770000000004,-25630.33,111969.94,104334.4,100299.14513456899,seller_scorecard + order_profitability_features,5,open,assign owner and execute recommended action within SLA
seller,S00922,66.46868111090052,High,seller_quality,audit seller operations,Seller Operations,7,210125.78,-171785.87,492457.19,459204.31,444034.4595876561,seller_scorecard + order_profitability_features,6,open,assign owner and execute recommended action within SLA
seller,S00760,66.4324880124338,High,seller_quality,audit seller operations,Seller Operations,7,32732.800000000003,-24405.6,80157.35,73545.69,70646.22977786163,seller_scorecard + order_profitability_features,7,open,assign owner and execute recommended action within SLA
seller,S00347,66.30253613822666,High,seller_quality,audit seller operations,Seller Operations,7,57533.57,-43419.92,129880.66,121287.18000000001,116445.92314731525,seller_scorecard + order_profitability_features,8,open,assign owner and execute recommended action within SLA
seller,S00948,66.19327836081726,High,seller_quality,audit seller operations,Seller Operations,7,47342.600000000006,-35839.66,111327.21,103851.39,99757.32388794278,seller_scorecard + order_profitability_features,9,open,assign owner and execute recommended action within SLA
seller,S00607,65.48038877167538,High,seller_quality,audit seller operations,Seller Operations,7,12810.710000000001,-9261.98,37667.09,34129.81,33002.97026576239,seller_scorecard + order_profitability_features,10,open,assign owner and execute recommended action within SLA
