seller_id,current_period,margin_fragility_score,margin_fragility_tier,main_risk_driver,recommended_action
S00001,2026-02,33.25468185313144,Moderate,negative_margin_share,reduce subsidy exposure
S00002,2026-02,46.3657600659627,Moderate,negative_margin_share,reduce subsidy exposure
S00003,2026-02,29.33660836137624,Low,negative_margin_share,monitor only
S00004,2026-02,39.43134052664042,Moderate,negative_margin_share,reduce subsidy exposure
S00005,2026-02,34.245022970744216,Moderate,negative_margin_share,reduce subsidy exposure
S00006,2026-02,46.67123594812778,Moderate,negative_margin_share,reduce subsidy exposure
S00007,2026-02,32.85764433081474,Moderate,negative_margin_share,reduce subsidy exposure
S00008,2026-02,38.651769823785735,Moderate,negative_margin_share,reduce subsidy exposure
S00009,2026-02,35.96807752484856,Moderate,negative_margin_share,reduce subsidy exposure
S00010,2026-02,31.280831057637286,Moderate,negative_margin_share,reduce subsidy exposure
S00011,2026-02,30.617049955440404,Moderate,negative_margin_share,reduce subsidy exposure
S00012,2026-02,22.595219866033048,Low,subsidy_dependency,monitor only
S00013,2026-02,33.426771736425835,Moderate,negative_margin_share,reduce subsidy exposure
S00014,2026-02,40.010106035660954,Moderate,refund_value_risk,reduce subsidy exposure
S00015,2026-02,51.68273813701563,Moderate,negative_margin_share,reduce subsidy exposure
S00016,2026-02,48.85542477499412,Moderate,negative_margin_share,reduce subsidy exposure
S00017,2026-02,23.526143795650686,Low,negative_margin_share,monitor only
S00018,2026-02,14.86016357644247,Low,negative_margin_share,monitor only
S00019,2026-02,29.7366471711224,Low,negative_margin_share,monitor only
S00020,2026-02,42.87933793465887,Moderate,refund_value_risk,reduce subsidy exposure
S00021,2026-02,37.921307012694506,Moderate,negative_margin_share,reduce subsidy exposure
S00022,2026-02,26.5358920270676,Low,negative_margin_share,monitor only
S00023,2026-02,27.124299998885203,Low,negative_margin_share,monitor only
S00024,2026-02,44.7946744305684,Moderate,refund_value_risk,reduce subsidy exposure
S00025,2026-02,27.261166857452494,Low,refund_value_risk,monitor only
S00026,2026-02,29.512877547858764,Low,negative_margin_share,monitor only
S00027,2026-02,39.596649512098196,Moderate,negative_margin_share,reduce subsidy exposure
S00028,2026-02,37.13253831056091,Moderate,negative_margin_share,reduce subsidy exposure
S00029,2026-02,43.66960397752113,Moderate,negative_margin_share,reduce subsidy exposure
S00030,2026-02,42.539677124569785,Moderate,negative_margin_share,reduce subsidy exposure
S00031,2026-02,34.111051363024416,Moderate,refund_value_risk,reduce subsidy exposure
S00032,2026-02,26.50770134831948,Low,negative_margin_share,monitor only
S00033,2026-02,43.61250218539463,Moderate,refund_value_risk,reduce subsidy exposure
S00034,2026-02,54.83253530663571,Moderate,negative_margin_share,reduce subsidy exposure
S00035,2026-02,24.93783816829862,Low,negative_margin_share,monitor only
S00036,2026-02,52.76645141165954,Moderate,negative_margin_share,reduce subsidy exposure
S00037,2026-02,31.566399038626518,Moderate,negative_margin_share,reduce subsidy exposure
S00038,2026-02,23.719671565243125,Low,negative_margin_share,monitor only
S00039,2026-02,15.685275782557813,Low,negative_margin_share,monitor only
S00040,2026-02,50.953721504003035,Moderate,negative_margin_share,reduce subsidy exposure
S00041,2026-02,32.00785443398204,Moderate,negative_margin_share,reduce subsidy exposure
S00042,2026-02,45.76654125931596,Moderate,negative_margin_share,reduce subsidy exposure
S00043,2026-02,39.01134527343612,Moderate,refund_value_risk,reduce subsidy exposure
S00044,2026-02,44.13262265356272,Moderate,negative_margin_share,reduce subsidy exposure
S00045,2026-02,37.998210809329436,Moderate,negative_margin_share,reduce subsidy exposure
S00046,2026-02,50.53693550366637,Moderate,negative_margin_share,reduce subsidy exposure
S00047,2026-02,27.775212328807246,Low,negative_margin_share,monitor only
S00048,2026-02,44.72844544212834,Moderate,negative_margin_share,reduce subsidy exposure
S00049,2026-02,50.0,Moderate,negative_margin_share,reduce subsidy exposure
S00050,2026-02,25.078426131863026,Low,negative_margin_share,monitor only
S00051,2026-02,31.643091508189308,Moderate,negative_margin_share,reduce subsidy exposure
S00052,2026-02,30.55426686281104,Moderate,negative_margin_share,reduce subsidy exposure
S00053,2026-02,40.79864329349403,Moderate,negative_margin_share,reduce subsidy exposure
S00054,2026-02,33.26526250767637,Moderate,negative_margin_share,reduce subsidy exposure
S00055,2026-02,31.838375472138424,Moderate,negative_margin_share,reduce subsidy exposure
S00056,2026-02,23.036672716718506,Low,refund_value_risk,monitor only
S00057,2026-02,39.725663458915726,Moderate,refund_value_risk,reduce subsidy exposure
