seller_id,current_period,quality_inputs,fraud_inputs,profitability_inputs,operational_inputs,concentration_inputs
S00001,2026-02,"{""cancellation_rate"": 0.178571, ""on_time_rate"": 0.0, ""refund_rate"": 0.178571, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.071429, ""dispute_rate"": 0.142857, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 4.10623, ""margin_rate"": 0.045024, ""promo_dependency_rate"": 0.030373}","{""avg_delay_days"": 3.428571, ""cancellation_rate"": 0.178571, ""delayed_order_rate"": 0.821429}","{""gmv_rank_percentile"": 0.3225, ""gmv_share"": 0.000225, ""order_share"": 0.000431, ""top_decile_volume"": 0.0}"
S00002,2026-02,"{""cancellation_rate"": 0.103448, ""on_time_rate"": 0.344828, ""refund_rate"": 0.103448, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.034483, ""dispute_rate"": 0.241379, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 2.119201, ""margin_rate"": 0.014749, ""promo_dependency_rate"": 0.050476}","{""avg_delay_days"": 1.482759, ""cancellation_rate"": 0.103448, ""delayed_order_rate"": 0.103448}","{""gmv_rank_percentile"": 0.494167, ""gmv_share"": 0.000367, ""order_share"": 0.000446, ""top_decile_volume"": 0.0}"
S00003,2026-02,"{""cancellation_rate"": 0.217391, ""on_time_rate"": 0.0, ""refund_rate"": 0.130435, ""repeat_buyer_rate"": 0.043478}","{""chargeback_rate"": 0.086957, ""dispute_rate"": 0.086957, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 4.557298, ""margin_rate"": 0.035415, ""promo_dependency_rate"": 0.031479}","{""avg_delay_days"": 3.26087, ""cancellation_rate"": 0.217391, ""delayed_order_rate"": 0.782609}","{""gmv_rank_percentile"": 0.370833, ""gmv_share"": 0.000261, ""order_share"": 0.000354, ""top_decile_volume"": 0.0}"
S00004,2026-02,"{""cancellation_rate"": 0.076923, ""on_time_rate"": 0.076923, ""refund_rate"": 0.211538, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.076923, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 3.139711, ""margin_rate"": 0.020797, ""promo_dependency_rate"": 0.041124}","{""avg_delay_days"": 2.269231, ""cancellation_rate"": 0.076923, ""delayed_order_rate"": 0.423077}","{""gmv_rank_percentile"": 0.733333, ""gmv_share"": 0.000691, ""order_share"": 0.0008, ""top_decile_volume"": 0.0}"
S00005,2026-02,"{""cancellation_rate"": 0.026316, ""on_time_rate"": 0.302632, ""refund_rate"": 0.144737, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.026316, ""dispute_rate"": 0.131579, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 1.444061, ""margin_rate"": 0.023041, ""promo_dependency_rate"": 0.041625}","{""avg_delay_days"": 1.75, ""cancellation_rate"": 0.026316, ""delayed_order_rate"": 0.144737}","{""gmv_rank_percentile"": 0.535833, ""gmv_share"": 0.000419, ""order_share"": 0.001169, ""top_decile_volume"": 0.0}"
S00006,2026-02,"{""cancellation_rate"": 0.15625, ""on_time_rate"": 0.0, ""refund_rate"": 0.3125, ""repeat_buyer_rate"": 0.03125}","{""chargeback_rate"": 0.0625, ""dispute_rate"": 0.15625, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 5.678613, ""margin_rate"": 0.015538, ""promo_dependency_rate"": 0.048204}","{""avg_delay_days"": 3.9375, ""cancellation_rate"": 0.15625, ""delayed_order_rate"": 0.84375}","{""gmv_rank_percentile"": 0.834167, ""gmv_share"": 0.00103, ""order_share"": 0.000492, ""top_decile_volume"": 0.0}"
S00007,2026-02,"{""cancellation_rate"": 0.076923, ""on_time_rate"": 0.461538, ""refund_rate"": 0.076923, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.0, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 3.310349, ""margin_rate"": 0.025848, ""promo_dependency_rate"": 0.044945}","{""avg_delay_days"": 1.538462, ""cancellation_rate"": 0.076923, ""delayed_order_rate"": 0.230769}","{""gmv_rank_percentile"": 0.189167, ""gmv_share"": 0.000147, ""order_share"": 0.0002, ""top_decile_volume"": 0.0}"
S00008,2026-02,"{""cancellation_rate"": 0.166667, ""on_time_rate"": 0.0, ""refund_rate"": 0.083333, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.083333, ""dispute_rate"": 0.25, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 36.132456, ""margin_rate"": 0.058036, ""promo_dependency_rate"": 0.025129}","{""avg_delay_days"": 2.333333, ""cancellation_rate"": 0.166667, ""delayed_order_rate"": 0.5}","{""gmv_rank_percentile"": 0.7175, ""gmv_share"": 0.000658, ""order_share"": 0.000185, ""top_decile_volume"": 0.0}"
S00009,2026-02,"{""cancellation_rate"": 0.074074, ""on_time_rate"": 0.518519, ""refund_rate"": 0.111111, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.037037, ""dispute_rate"": 0.111111, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 3.891371, ""margin_rate"": 0.035541, ""promo_dependency_rate"": 0.037758}","{""avg_delay_days"": 1.185185, ""cancellation_rate"": 0.074074, ""delayed_order_rate"": 0.037037}","{""gmv_rank_percentile"": 0.37, ""gmv_share"": 0.00026, ""order_share"": 0.000415, ""top_decile_volume"": 0.0}"
S00010,2026-02,"{""cancellation_rate"": 0.074074, ""on_time_rate"": 0.074074, ""refund_rate"": 0.111111, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.148148, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 3.508761, ""margin_rate"": 0.0274, ""promo_dependency_rate"": 0.036723}","{""avg_delay_days"": 2.185185, ""cancellation_rate"": 0.074074, ""delayed_order_rate"": 0.37037}","{""gmv_rank_percentile"": 0.419167, ""gmv_share"": 0.000305, ""order_share"": 0.000415, ""top_decile_volume"": 0.0}"
