buyer_id,signup_date,region,acquisition_channel,customer_type,loyalty_tier
B000001,2023-11-23,South,direct,consumer,Silver
B000002,2025-08-06,West,organic,consumer,Gold
B000003,2025-04-20,West,social,consumer,Silver
B000004,2024-10-05,West,email,enthusiast,Bronze
B000005,2024-09-30,Northeast,direct,consumer,Silver
B000006,2025-10-22,West,referral,enthusiast,Bronze
B000007,2023-11-20,Central,organic,consumer,Silver
B000008,2025-05-28,South,organic,consumer,Gold
B000009,2024-03-04,South,referral,consumer,Silver
B000010,2023-11-27,West,paid_search,consumer,Bronze
B000011,2024-12-24,Northeast,affiliate,consumer,Silver
B000012,2026-02-05,Midwest,referral,consumer,Gold
B000013,2025-07-02,West,paid_search,consumer,Bronze
B000014,2025-07-25,Northeast,organic,consumer,Bronze
B000015,2025-06-16,Midwest,paid_search,enthusiast,Bronze
B000016,2025-08-17,Midwest,direct,consumer,Gold
B000017,2024-12-12,South,paid_search,consumer,Silver
B000018,2023-12-28,West,organic,consumer,Bronze
B000019,2025-10-05,Northeast,email,consumer,Silver
B000020,2024-10-16,South,affiliate,consumer,Silver
B000021,2024-11-30,West,social,small_business,Bronze
B000022,2024-08-05,Northeast,direct,consumer,Gold
B000023,2024-02-15,West,paid_search,consumer,Silver
B000024,2025-12-23,Northeast,email,small_business,Bronze
B000025,2025-08-13,South,direct,consumer,Gold
B000026,2025-04-10,Northeast,paid_search,small_business,Bronze
B000027,2024-09-02,Midwest,paid_search,consumer,Bronze
B000028,2025-09-19,West,paid_search,enthusiast,Bronze
B000029,2025-01-10,West,affiliate,enthusiast,Bronze
B000030,2024-10-10,Central,affiliate,small_business,Silver
B000031,2024-10-16,Midwest,social,consumer,Bronze
B000032,2024-03-27,West,email,consumer,Bronze
B000033,2023-11-25,Midwest,social,small_business,Platinum
B000034,2025-01-19,Central,referral,consumer,Bronze
B000035,2025-11-18,Midwest,affiliate,consumer,Bronze
B000036,2023-10-31,Central,social,consumer,Bronze
B000037,2025-10-22,South,organic,consumer,Gold
B000038,2025-09-24,Midwest,affiliate,consumer,Bronze
B000039,2024-05-11,West,affiliate,consumer,Bronze
B000040,2025-03-30,Northeast,organic,consumer,Gold
B000041,2024-01-31,South,referral,consumer,Bronze
B000042,2025-07-23,Central,social,consumer,Gold
B000043,2025-05-31,South,paid_search,consumer,Silver
B000044,2024-07-21,Northeast,direct,enthusiast,Gold
B000045,2023-11-03,South,paid_search,consumer,Bronze
B000046,2026-02-01,South,affiliate,consumer,Gold
B000047,2024-10-12,Midwest,affiliate,small_business,Bronze
B000048,2025-11-22,Central,organic,consumer,Bronze
B000049,2025-05-11,Central,paid_search,consumer,Gold
B000050,2025-08-10,Midwest,organic,consumer,Bronze
B000051,2025-07-24,West,organic,consumer,Bronze
B000052,2024-02-26,South,affiliate,consumer,Silver
B000053,2024-07-29,West,organic,consumer,Bronze
B000054,2024-10-31,South,email,enthusiast,Bronze
B000055,2023-10-12,Northeast,paid_search,consumer,Silver
B000056,2025-01-11,Central,paid_search,consumer,Bronze
B000057,2024-01-21,West,direct,consumer,Silver
