dispute_id,order_id,dispute_date,dispute_reason,dispute_status,dispute_amount
D00000001,O00000029,2024-06-25,damaged_item,won_by_seller,175.44
D00000002,O00000033,2025-09-24,damaged_item,under_review,32.18
D00000003,O00000039,2024-12-30,item_not_received,under_review,15.33
D00000004,O00000051,2026-03-25,not_as_described,won_by_seller,39.56
D00000005,O00000052,2025-12-13,not_as_described,won_by_seller,39.12
D00000006,O00000057,2025-06-19,unauthorized_transaction,under_review,321.27
D00000007,O00000061,2026-01-30,unauthorized_transaction,under_review,365.98
D00000008,O00000064,2026-03-21,unauthorized_transaction,won_by_buyer,67.65
D00000009,O00000073,2026-01-31,unauthorized_transaction,under_review,120.0
D00000010,O00000076,2025-02-01,item_not_received,won_by_buyer,169.73
D00000011,O00000085,2025-01-19,not_as_described,won_by_buyer,52.43
D00000012,O00000086,2025-09-01,not_as_described,won_by_seller,55.47
D00000013,O00000089,2025-12-13,unauthorized_transaction,won_by_buyer,145.96
D00000014,O00000107,2026-01-07,refund_not_processed,won_by_buyer,117.4
D00000015,O00000112,2025-11-13,unauthorized_transaction,won_by_seller,5.33
D00000016,O00000114,2024-03-30,not_as_described,won_by_seller,41.27
D00000017,O00000130,2026-01-21,refund_not_processed,under_review,22.73
D00000018,O00000135,2025-09-07,not_as_described,won_by_seller,288.69
D00000019,O00000140,2025-09-02,not_as_described,under_review,63.34
D00000020,O00000146,2026-03-25,late_delivery,won_by_seller,98.76
D00000021,O00000150,2026-01-13,item_not_received,won_by_seller,8.45
D00000022,O00000160,2024-10-17,not_as_described,won_by_buyer,78.84
D00000023,O00000162,2025-07-30,unauthorized_transaction,under_review,38.6
D00000024,O00000166,2024-11-21,item_not_received,won_by_buyer,210.48
D00000025,O00000170,2025-05-21,damaged_item,won_by_buyer,52.89
D00000026,O00000183,2024-10-05,unauthorized_transaction,won_by_seller,17.6
D00000027,O00000193,2025-05-15,not_as_described,won_by_buyer,241.33
D00000028,O00000195,2025-07-08,unauthorized_transaction,won_by_seller,94.22
D00000029,O00000197,2025-12-14,item_not_received,won_by_seller,114.24
D00000030,O00000206,2025-09-12,damaged_item,won_by_seller,147.1
D00000031,O00000209,2026-01-11,damaged_item,won_by_buyer,37.01
D00000032,O00000216,2025-11-27,not_as_described,under_review,218.41
D00000033,O00000222,2025-11-12,unauthorized_transaction,won_by_buyer,29.28
D00000034,O00000227,2026-01-10,unauthorized_transaction,won_by_buyer,12.3
D00000035,O00000230,2025-10-28,unauthorized_transaction,won_by_buyer,40.8
D00000036,O00000237,2025-12-28,damaged_item,won_by_seller,5.96
D00000037,O00000239,2025-07-14,not_as_described,won_by_buyer,413.67
D00000038,O00000241,2026-02-17,damaged_item,under_review,166.4
D00000039,O00000245,2025-12-04,unauthorized_transaction,won_by_buyer,6.0
D00000040,O00000248,2025-11-29,damaged_item,won_by_seller,84.08
D00000041,O00000255,2026-01-31,damaged_item,won_by_seller,34.0
D00000042,O00000259,2025-02-02,unauthorized_transaction,under_review,9.68
D00000043,O00000263,2025-02-19,damaged_item,won_by_seller,40.32
D00000044,O00000265,2025-03-14,unauthorized_transaction,won_by_seller,408.62
D00000045,O00000267,2025-12-12,item_not_received,won_by_seller,115.12
D00000046,O00000276,2025-02-12,damaged_item,under_review,36.64
D00000047,O00000277,2026-02-09,not_as_described,won_by_seller,204.28
D00000048,O00000279,2025-12-18,item_not_received,won_by_seller,24.46
D00000049,O00000281,2025-07-10,not_as_described,won_by_buyer,14.2
D00000050,O00000301,2024-12-26,item_not_received,won_by_seller,44.41
D00000051,O00000306,2024-10-09,not_as_described,under_review,11.62
D00000052,O00000308,2025-07-23,item_not_received,won_by_buyer,28.68
D00000053,O00000315,2025-02-22,unauthorized_transaction,won_by_buyer,122.01
D00000054,O00000323,2024-07-12,item_not_received,won_by_buyer,145.04
D00000055,O00000328,2025-12-19,item_not_received,under_review,31.29
D00000056,O00000334,2026-02-16,unauthorized_transaction,won_by_buyer,14.51
D00000057,O00000341,2025-01-05,not_as_described,won_by_seller,19.25
D00000058,O00000360,2025-05-17,not_as_described,won_by_seller,84.78
D00000059,O00000364,2026-03-04,not_as_described,won_by_seller,157.47
D00000060,O00000374,2026-02-08,unauthorized_transaction,won_by_buyer,161.93
D00000061,O00000378,2025-03-16,not_as_described,won_by_buyer,94.84
D00000062,O00000381,2025-12-28,not_as_described,won_by_seller,123.63
D00000063,O00000382,2025-06-24,item_not_received,won_by_buyer,79.62
D00000064,O00000386,2025-10-13,not_as_described,won_by_seller,22.33
D00000065,O00000387,2024-11-25,unauthorized_transaction,under_review,158.16
D00000066,O00000392,2024-12-03,unauthorized_transaction,won_by_buyer,45.2
D00000067,O00000393,2025-07-14,item_not_received,won_by_buyer,48.22
D00000068,O00000397,2025-12-10,not_as_described,won_by_seller,211.0
D00000069,O00000401,2025-04-13,unauthorized_transaction,under_review,239.31
D00000070,O00000403,2025-08-29,item_not_received,won_by_buyer,20.49
D00000071,O00000410,2024-11-07,unauthorized_transaction,under_review,45.29
D00000072,O00000414,2025-06-10,not_as_described,under_review,96.83
D00000073,O00000415,2025-06-04,not_as_described,won_by_seller,116.85
D00000074,O00000421,2025-03-30,unauthorized_transaction,won_by_buyer,106.32
D00000075,O00000424,2025-09-11,item_not_received,won_by_seller,83.49
D00000076,O00000429,2025-10-17,not_as_described,under_review,31.05
D00000077,O00000438,2024-10-14,unauthorized_transaction,won_by_buyer,75.83
D00000078,O00000439,2025-04-02,damaged_item,won_by_buyer,63.8
D00000079,O00000443,2025-04-05,not_as_described,won_by_seller,360.78
D00000080,O00000470,2025-09-18,unauthorized_transaction,under_review,64.37
D00000081,O00000480,2025-12-17,damaged_item,under_review,9.57
D00000082,O00000488,2025-03-08,unauthorized_transaction,won_by_seller,82.02
D00000083,O00000499,2025-11-04,not_as_described,under_review,146.51
D00000084,O00000506,2025-05-30,item_not_received,under_review,71.35
D00000085,O00000511,2025-12-20,unauthorized_transaction,won_by_buyer,46.61
D00000086,O00000513,2025-12-02,refund_not_processed,won_by_seller,68.66
D00000087,O00000515,2025-11-10,item_not_received,won_by_seller,50.16
D00000088,O00000518,2025-08-20,not_as_described,won_by_seller,693.01
D00000089,O00000521,2025-03-28,refund_not_processed,under_review,11.75
D00000090,O00000531,2025-02-08,item_not_received,won_by_buyer,10.8
D00000091,O00000539,2026-01-26,damaged_item,won_by_seller,491.33
D00000092,O00000543,2025-09-21,item_not_received,won_by_seller,659.64
D00000093,O00000548,2026-01-07,item_not_received,won_by_buyer,9.48
D00000094,O00000551,2025-08-13,refund_not_processed,under_review,49.83
D00000095,O00000557,2025-01-17,unauthorized_transaction,won_by_seller,705.67
