product_id,seller_id,category,subcategory,list_price,estimated_cost,shipping_cost_proxy
P0000001,S00001,Toys,STEM,48.05,27.2,4.68
P0000002,S00001,Toys,Puzzles,51.84,26.01,4.0
P0000003,S00001,Toys,Educational,39.96,22.85,3.88
P0000004,S00001,Electronics,Accessories,213.91,163.15,8.57
P0000005,S00001,Toys,Educational,19.16,9.5,5.04
P0000006,S00001,Toys,STEM,29.4,14.18,4.79
P0000007,S00001,Toys,Educational,51.71,28.65,3.94
P0000008,S00001,Toys,Puzzles,42.01,21.87,3.52
P0000009,S00001,Toys,Action Figures,23.69,13.09,3.75
P0000010,S00001,Toys,Puzzles,46.14,25.87,3.99
P0000011,S00001,Toys,Action Figures,39.98,23.06,4.97
P0000012,S00001,Home,Furniture,88.3,48.46,8.72
P0000013,S00001,Toys,Puzzles,56.82,29.58,4.0
P0000014,S00002,Fashion,Shoes,50.3,31.91,4.93
P0000015,S00002,Fashion,Shoes,59.28,32.35,5.42
P0000016,S00002,Fashion,Accessories,63.09,42.97,5.39
P0000017,S00002,Electronics,Audio,333.14,290.08,6.92
P0000018,S00002,Fashion,Men,63.41,33.98,3.54
P0000019,S00002,Fashion,Shoes,34.74,17.75,5.44
P0000020,S00002,Fashion,Men,40.47,24.45,3.72
P0000021,S00002,Electronics,Computers,246.0,216.48,7.29
P0000022,S00002,Fashion,Women,57.44,34.25,3.86
P0000023,S00003,Fashion,Women,82.36,33.36,3.49
P0000024,S00003,Grocery,Snacks,33.81,20.22,2.95
P0000025,S00003,Fashion,Women,51.73,26.49,4.25
P0000026,S00003,Fashion,Women,59.29,26.59,4.14
P0000027,S00003,Fashion,Accessories,83.7,42.2,5.19
P0000028,S00003,Fashion,Women,60.8,29.25,4.03
P0000029,S00003,Fashion,Shoes,97.22,40.32,4.64
P0000030,S00003,Fashion,Men,38.15,16.43,4.75
P0000031,S00003,Fashion,Men,47.58,22.53,4.0
P0000032,S00003,Fashion,Shoes,101.13,54.04,4.33
P0000033,S00003,Fashion,Men,36.45,16.38,3.6
P0000034,S00003,Electronics,Audio,253.72,176.51,7.61
