refund_id,order_id,refund_date,refund_reason,refund_amount,full_refund_flag
R00000001,O00000001,2025-01-03,not_as_described,765.12,1
R00000002,O00000003,2024-10-19,not_as_described,7.24,0
R00000003,O00000024,2025-10-02,buyer_remorse,204.94,1
R00000004,O00000033,2025-09-22,order_cancelled,16.83,0
R00000005,O00000040,2024-11-22,damaged_item,9.9,0
R00000006,O00000046,2025-11-14,buyer_remorse,512.84,0
R00000007,O00000050,2026-01-05,damaged_item,454.48,1
R00000008,O00000051,2026-03-09,not_as_described,60.5,0
R00000009,O00000060,2025-08-15,buyer_remorse,203.53,1
R00000010,O00000069,2025-04-02,buyer_remorse,361.06,1
R00000011,O00000072,2025-09-07,buyer_remorse,81.62,1
R00000012,O00000089,2025-12-10,damaged_item,298.89,0
R00000013,O00000106,2026-03-04,not_as_described,43.1,0
R00000014,O00000116,2025-11-21,buyer_remorse,16.68,0
R00000015,O00000136,2025-09-01,buyer_remorse,302.78,1
R00000016,O00000137,2025-09-08,damaged_item,63.18,0
R00000017,O00000163,2024-05-09,damaged_item,476.33,1
R00000018,O00000169,2025-01-25,order_cancelled,80.17,0
R00000019,O00000172,2025-02-02,order_cancelled,207.01,1
R00000020,O00000175,2024-12-31,late_delivery,321.7,1
R00000021,O00000184,2025-09-07,not_as_described,371.82,0
R00000022,O00000185,2025-11-05,order_cancelled,281.33,1
R00000023,O00000189,2024-12-09,not_as_described,22.57,0
R00000024,O00000191,2025-09-09,buyer_remorse,24.85,0
R00000025,O00000192,2025-02-13,not_as_described,40.34,1
R00000026,O00000194,2024-07-18,buyer_remorse,98.83,1
R00000027,O00000195,2025-06-26,buyer_remorse,81.29,0
R00000028,O00000200,2024-12-31,buyer_remorse,76.03,0
R00000029,O00000208,2025-12-21,damaged_item,17.19,0
R00000030,O00000211,2026-03-14,not_as_described,24.9,0
R00000031,O00000222,2025-11-04,fraud_suspected,18.07,0
R00000032,O00000226,2025-09-26,fraud_suspected,10.02,0
R00000033,O00000227,2026-01-05,fraud_suspected,26.82,0
R00000034,O00000230,2025-10-14,fraud_suspected,98.38,0
R00000035,O00000232,2026-01-20,damaged_item,58.54,1
R00000036,O00000243,2025-12-13,order_cancelled,63.45,1
R00000037,O00000245,2025-12-03,buyer_remorse,27.36,0
R00000038,O00000257,2026-01-18,not_as_described,44.44,0
R00000039,O00000258,2025-12-21,buyer_remorse,126.35,0
R00000040,O00000273,2025-01-07,not_as_described,7.97,0
R00000041,O00000292,2025-07-01,order_cancelled,105.88,1
R00000042,O00000294,2025-12-15,fraud_suspected,58.0,0
